"Add a Website";"Aggiungi un sito web"
"Address:";"Indirizzo"
"An error occurred while deleting the event";"Si è verificato un errore durante l'eliminazione dell'evento"
"An error occurred while loading this event";"Si è verificato un errore durante il caricamento dell'evento"
"Beginning date:";"Data di inizio:"
"Beginning time:";"Ora di inizio:"
"Calendar successfully deleted";"Calendario eliminato correttamente"
"Calendar's URL";"URL del calendario"
"Calendar's title";"Titolo del calendario"
"Change picture";"Cambia immagine"
"Create a new event";"Crea un nuovo evento"
"Custom Calendar";"Calendario Personalizzato"
"Custom Page";"Pagina personalizzata"
"Delete this calendar?";"Eliminare questo calendario?"
"Delete this event?";"Eliminare questo evento?"
"Ending date:";"Data fine:"
"Enter your calendar's title";"Inserisci il titolo del calendario"
"Entrance:";"Ingresso:"
"Entrance: %s";"Ingresso: %s"
"Event";"Evento"
"Event successfully deleted";"Evento eliminato correttamente"
"Event successfully saved";"Evento salvato correttamente"
"Event title:";"Titolo dell'evento"
"Illustration";"Immagini"
"Illustration:";"Illustrazione:"
"Max size: 2000x2000px - allowed formats: jpg & png";"Misura massima: 2000x2000px - formati consentiti: jpg & png"
"Modify the event";"Modifica l'evento"
"RSVP";"RSVP"
"RSVP URL:";"RSVP URL:"
"Subtitle:";"Sottotitolo:"
"Ticket Shop URL:";"Aquista biglietto qui:"
"Your Facebook page ID";"ID pagina facebook"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"ID pagina facebook  <span class=""required-entry"">*</span> :"
"Your calendar is empty";"Il calendario è vuoto"
"iCal";"iCal"
"to";"fino a"
