"An error occurred while deleting the event";"Произошла ошибка при удалении события"
"An error occurred while loading this event";"Произошла ошибка при загрузке события"
"Beginning date:";"Дата начала:"
"Calendar successfully deleted";"Календарь успешно удален"
"Calendar's URL";"URL календаря"
"Calendar's title";"Название календаря"
"Change picture";"Сменить картинку"
"Create a new event";"Создать новое событие"
"Custom Page";"Свой"
"Delete this calendar?";"Удалить этот календарь?"
"Delete this event?";"Удалить это событие?"
"Ending date:";"Дата окончания:"
"Enter your calendar's title";"Введите название вашего календаря"
"Event";"Событие"
"Event successfully deleted";"Событие успешно удалено"
"Event successfully saved";"Событие успешно сохранено"
"Event title:";"Название мероприятия:"
"Illustration";"Иллюстрация"
"Max size: 2000x2000px - allowed formats: jpg & png";"Максимальный размер: 2000x2000px,  допустимые форматы: JPG & PNG"
"Modify the event";"Изменить событие"
"RSVP";"Посмотреть подробности"
"RSVP URL:";"Подробности по URL:"
"Your Facebook page ID";"Ваш ID на странице Facebook "
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Ваш ID на странице Facebook <span class=""требует ввода"">*</span> :"
"Your calendar is empty";"Ваш календарь пуст"
"iCal";"iCal - Apple"
