"Access restricted to authorized members only";"Accesso riservato solo agli utenti autorizzati"
"Allow all the users by default:";"Lasciare tutti gli utenti per impostazione predefinita:"
"Choose the features to lock:";"Scegli le funzioni da bloccare:"
"Lock the entire application?";"Bloccare l'intera applicazione?"
"Restrict Access";"Accesso riservato"
"We are sorry but your account does not have enough permissions to access this page";"Ci dispiace ma il tuo account non dispone di autorizzazioni sufficienti per accedere a questa pagina"
"the email address";"l'email"
"the first name";"il nome"
"the gender";"il genere"
"the last name";"il cognome"
"the password";"la password"
